"RouteID","StopID","EstimateTime","GoBack"
"16688","198039","2442","2"
"16642","154848","3109","1"
"16531","133087","-3","3"
"17940","197245","4988","2"
"16223","111639","4894","2"
"16223","111613","3321","2"
"16608","140443","1099","1"
"16812","157819","-1","2"
"16207","110920","824","1"
"16753","155951","1344","0"
"17515","178506","835","0"
"17994","199734","-3","3"
"16768","156984","1792","0"
"16481","148648","-1","2"
"17548","180710","754","0"
"16427","151174","400","2"
"16584","138573","-1","2"
"16611","140616","1119","0"
"16851","158413","1693","0"
"17536","179869","-1","2"
"16641","142666","-3","3"
"16692","150034","1171","2"
"17548","180743","251","1"
"16659","145451","326","1"
"10196","35085","224","0"
"17432","174259","2720","2"
"17923","196573","-1","2"
"16517","131577","29","1"
"16748","155519","166","0"
"17395","172437","-3","3"
"17668","199117","789","0"
"16908","160398","-1","2"
"16892","159922","770","2"
"16474","128016","833","1"
"16511","130730","1676","0"
"16926","161051","2547","2"
"16835","158050","3418","2"
"17664","184731","-3","3"
"16425","123768","116","1"
"17304","169318","31","0"
"16659","145488","133","1"
"16294","114916","119","1"
"17392","172403","-1","2"
"10161","34406","189","1"
"16975","162174","-1","2"
"16542","191211","4563","0"
"16538","191887","56","0"
"16462","127401","303","0"
"10325","21093","828","0"
"16710","152039","-1","2"
"17668","184953","245","0"
"17300","169917","642","0"
"16757","156153","2048","0"
"16973","162100","-1","2"
"16693","150153","1425","0"
"16997","162607","1494","2"
"16576","137800","-1","2"
"16538","133637","581","0"
"16393","122029","32","1"
"16656","147098","-3","3"
"17526","179245","840","1"
"17689","196234","-2","2"
"16608","200396","233","1"
"16753","155921","-1","2"
"16425","123739","1167","0"
"16554","134371","-4","2"
"16425","123738","1106","0"
"16956","161749","-1","2"
"10172","195045","-1","2"
"16530","133013","-3","3"
"16614","140821","-1","2"
"16538","133689","4412","2"
"16897","160064","-4","2"
"17868","194647","2182","0"
"16912","160670","87","0"
"11244","18083","469","0"
"16530","132980","-3","3"
"16948","161550","-1","2"
"16757","156133","1332","0"
"10511","37590","2029","0"
"17905","195822","-3","3"
"17940","197250","5232","2"
"16759","156249","-1","2"
"17501","177722","-1","2"
"17530","179606","1513","0"
"16574","190253","-1","2"
"16669","147665","2283","2"
"16405","122409","301","1"
"16554","134369","-4","2"
"17910","195977","-1","2"
"17548","180730","293","0"
"16877","184287","-1","2"
"17919","196732","-3","3"
"16731","154280","197","0"
"17502","177774","5945","2"
"10151","34236","20","1"
"16258","113165","908","1"
"17868","194639","1707","0"
"16270","113731","767","2"
"16490","129056","323","0"
"10753","38323","1634","1"
"16964","161878","5575","2"
"16903","160249","2492","2"
"17516","178566","3772","2"
"10162","57909","261","0"
"10492","37359","1047","1"
"16697","150685","80","1"
"16493","129222","5445","2"
"17663","184711","3488","2"
"16859","174873","-1","2"
"16575","137669","-1","2"
"16579","138044","-3","3"
"10151","34228","963","1"
"17553","180913","-3","3"
"16619","180959","149","0"
"16511","181584","139","1"
"17845","193122","3699","2"
"15181","44663","588","1"
"16739","155600","4259","2"
"17718","188237","-3","3"
"16623","141519","1051","2"
"16664","147472","78","1"
"16223","111662","5869","2"
"17011","162994","3195","2"
"16814","157841","-1","2"
"17292","168653","490","2"
"16576","137815","-1","2"
"16692","150095","1389","0"
"16773","157196","4549","2"
"16258","121176","1232","1"
"16909","160474","269","0"
"16515","131345","120","1"
"16418","123256","1153","0"
"17545","196152","-1","2"
"17570","186093","38","1"
"16511","130752","3198","2"
"10196","35146","616","0"
"16678","198163","-4","2"
"10329","198235","-1","2"
"16191","110089","3640","0"
"16464","127523","838","1"
"16902","160216","-4","2"
"16554","134362","-4","2"
"16542","156346","2176","0"
"5416","14148","2276","0"
"16763","156732","-3","3"
"16797","157613","-1","2"
"17865","193937","-1","2"
"17466","175061","5270","0"
"16191","110066","1456","0"
"16762","156676","-1","2"
"17570","181472","-1","2"
"18078","202970","-1","2"
"16556","134462","-1","2"
"10116","202631","7798","2"
"10453","36548","-1","2"
"18009","200100","-1","2"
"17528","179407","547","0"
"16971","162029","-1","2"
"16606","140230","902","0"
"10329","14900","648","1"
"17868","194627","1021","0"
"16431","124180","181","1"
"16728","198544","1073","2"
"16686","149478","714","0"
"16656","147126","-3","3"
"16614","140836","-1","2"
"17433","174284","-1","2"
"16731","154235","-1","2"
"17815","191980","-3","3"
"10475","10454","599","0"
"17010","162957","701","0"
"16976","202823","5802","2"
"17552","194280","-1","2"
"16629","141942","6168","2"
"16981","162323","-3","3"
"16538","133691","4521","2"
"15224","197779","988","1"
"16574","137529","-1","2"
"17502","177791","6926","2"
"16694","171118","168","0"
"16682","148430","1595","0"
"16669","147686","1030","1"
"17525","179146","254","0"
"16464","127531","1574","1"
"16544","134041","2785","2"
"17433","203221","-1","2"
"16691","152578","1464","1"
"16659","145487","72","1"
"16681","148375","-1","2"
"17537","179934","-1","2"
"16689","149624","141","0"
"16660","147245","-1","2"
"16948","161566","4544","2"
"16960","186662","-1","2"
"16571","137226","540","0"
"16269","195818","-1","2"
"16999","162623","2843","2"
"16489","129019","111","1"
"16521","131832","270","0"
"17714","187790","1970","2"
"16581","138171","483","1"
"17310","170883","201","1"
"17802","191328","1160","0"
"16745","155239","-4","2"
"16867","159039","4445","2"
"16526","132664","-3","3"
"16762","156640","-1","2"
"16468","127707","-1","2"
"16861","158699","-1","2"
"16591","139069","274","0"
"16223","111611","3238","2"
"17000","162652","4342","2"
"16655","145152","255","0"
"17466","175070","464","1"
"16777","157378","595","2"
"16659","147194","242","0"
"17719","194337","-3","3"
"16666","147528","2444","2"
"16668","151145","1722","1"
"17527","179297","1805","0"
"17958","198567","1069","1"
"16717","152476","976","2"
"17003","162770","2202","0"
"16808","157771","-3","3"
"16655","185103","655","1"
"16544","134042","2824","2"
"16670","149434","307","1"
"17011","163014","4370","2"
"16532","133250","7066","2"
"16552","134304","558","1"
"16481","128469","625","1"
"17720","188600","-3","3"
"17528","191995","2119","1"
"16573","137463","1514","0"
"16467","127657","-3","3"
"16768","184618","1026","0"
"16677","148156","-3","3"
"10161","34407","322","1"
"16515","131359","329","1"
"17696","186775","-1","2"
"16973","162113","-1","2"
"17528","179468","659","1"
"16873","159246","-1","2"
"16997","162597","320","0"
"17806","191570","891","1"
"16407","122498","151","0"
"16674","147890","715","1"
"16542","201665","1472","0"
"17011","162987","2740","2"
"17905","195821","-3","3"
"16535","133433","2517","2"
"17806","202601","71","1"
"16682","148482","5480","2"
"17790","191149","2849","2"
"17692","186536","-1","2"
"17534","179859","78","1"
"17719","188421","-3","3"
"16630","142031","4625","2"
"16689","149649","644","0"
"16835","158079","554","1"
"16578","137961","2104","2"
"17937","197072","-1","2"
"17871","194790","-3","3"
"17680","185785","-1","2"
"15224","27894","3925","2"
"16659","145431","104","1"
"16535","133448","3173","2"
"16758","156226","-1","2"
"16491","129115","1428","2"
"16740","198551","250","0"
"16590","138970","4214","2"
"16258","113125","871","0"
"16689","149708","-4","2"
"16517","131581","95","1"
"16689","149656","1183","0"
"17575","203316","1044","1"
"5413","33000","407","0"
"16970","161999","-1","2"
"16613","140805","62","1"
"17570","181479","449","0"
"16660","147273","-1","2"
"16543","133990","-1","2"
"17692","186480","-4","2"
"16792","157577","4250","2"
"16607","140345","-1","2"
"16686","149460","2734","2"
"16462","187706","26","0"
"16758","156233","-1","2"
"16642","142746","576","0"
"16583","138484","247","0"
"17500","177585","5381","2"
"16431","181896","-1","2"
"17518","178687","2693","2"
"16552","199810","60","1"
"17957","198367","-4","2"
"16270","113744","1663","2"
"16619","141168","542","0"
"16517","131608","192","1"
"16461","126548","2408","0"
"16772","157116","1542","0"
"17525","179137","-1","2"
"16538","133644","912","0"
"17509","178027","-1","2"
"16688","154141","797","1"
"17519","178781","120","1"
"17519","178786","383","1"
"16689","149721","578","1"
"16557","134511","-1","2"
"16757","156142","1652","0"
"16562","135072","707","1"
"17714","187798","2641","2"
"16966","161959","6902","2"
"16666","147544","47","0"
"17515","178523","1719","0"
"17718","192242","-3","3"
"16710","152045","-1","2"
"17719","188417","-3","3"
"17007","162871","2133","2"
"17625","191802","2601","2"
"5413","32980","2167","2"
"16613","140761","1107","0"
"16430","124124","-1","2"
"17360","171617","379","0"
"17865","193989","2048","2"
"16784","157474","-1","2"
"17010","162935","945","2"
"17775","196423","-3","3"
"16429","190443","946","1"
"16529","177560","2696","0"
"17663","184698","1846","2"
