"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"16564","16186","淡水客運","876","876","159451","876捷運淡水站","876 MRT Tamsui Sta.","10","捷運淡水站","Tamsui","三芝","Sanzhi","5","37","0600","0640","1715","1755","","","","","0600","0640","1715","1755","","","","","大溪橋-北新莊","Daxi Bridge-Beixinzhuang","二段票","Charge for 2 sections"
"16564","16186","淡水客運","876","876","158931","876三芝","876 Sanzhi","10","捷運淡水站","Tamsui","三芝","Sanzhi","5","37","0600","0640","1715","1755","","","","","0600","0640","1715","1755","","","","","大溪橋-北新莊","Daxi Bridge-Beixinzhuang","二段票","Charge for 2 sections"
"17510","16186","淡水客運","紅37繞淡水商工","R37go","158673","紅37繞淡水商工新市站","R37 Newmarket Station","10","淡海新市鎮","Danhai New Town","捷運淡水站","MRT Tamsui Sta.","110","18","1619","1619","2148","2148","","","","","","","","","例假日及寒暑假不繞駛","","","","","","一段票","1 segments"
"17510","16186","淡水客運","紅37繞淡水商工","R37go","158958","紅37繞淡水商工福德宮","R37 Fude Temple","10","淡海新市鎮","Danhai New Town","捷運淡水站","MRT Tamsui Sta.","110","18","1619","1619","2148","2148","","","","","","","","","例假日及寒暑假不繞駛","","","","","","一段票","1 segments"
"16282","16186","淡水客運","紅38","R38","157277","紅38","R38","10","淡海新市鎮","Danhai New Town","捷運淡水站","MRT Tamsui Sta.","63","12.6","0530","0530","0000","0000","0812","22:00後每20-30分一車次","1220","","0530","0530","0000","0000","","","15","20","","","一段票","1 segments"
"16432","16186","淡水客運","紅39","R39","157428","紅39","R39","10","新春街","Xinchun St.","捷運淡水站","MRT Tamsui Sta.","54","6","0610","0000","2210","0000","1520","","3040","","0610","0610","2210","2210","","","40","60","","","一段票","1 segments"
"16432","16186","淡水客運","紅39","R39","159304","紅39淡水站","R39 Tamsui Sta.","10","新春街","Xinchun St.","捷運淡水站","MRT Tamsui Sta.","54","6","0610","0000","2210","0000","1520","","3040","","0610","0610","2210","2210","","","40","60","","","一段票","1 segments"
"16432","16186","淡水客運","紅39","R39","159305","紅39捷運淡水站","R39 MRT Tamsui Sta.","10","新春街","Xinchun St.","捷運淡水站","MRT Tamsui Sta.","54","6","0610","0000","2210","0000","1520","","3040","","0610","0610","2210","2210","","","40","60","","","一段票","1 segments"
"16527","16186","淡水客運","878","878","157562","878","878","10","八里","Bali","捷運淡水站","MRT Tamsui Sta.","3","36","0610","0610","1550","1550","","","","","0610","0610","1550","1550","","","","","捷運竹圍站-關渡大橋","MRT Zhuwei Station-Guandu Bridge","二段票","Charge for 2 sections"
"16397","16186","淡水客運","紅51","R51","157393","紅51","R51","10","淡海新市鎮","Danhai New Town","捷運淡水站","MRT Tamsui Sta.","40","14.5","0600","0600","2230","2230","1530","","3060","","0600","0600","2230","2230","","","30","60","","","一段票","1 segments"
